year|silver_inflow|silver_stock
1645|85|85
1646|155|240
1647|155|395
1648|142|537
1649|205|742
1650|169|911
1651|157|1068
1652|113|1181
1653|148|1329
1654|148|1477
1655|104|1581
1656|78|1659
1657|78|1737
1658|116|1853
1659|155|2008
1660|163|2171
1661|174|2345
1662|136|2481
1663|97|2578
1664|116|2694
1665|174|2868
1666|219|3087
1667|78|3165
1668|78|3243
1669|78|3321
1670|78|3399
1671|78|3477
1672|78|3555
1673|72|3627
1674|72|3699
1675|72|3771
1676|98|3869
1677|109|3978
1678|76|4054
1679|93|4147
1680|87|4234
1681|60|4294
1682|60|4354
1683|60|4414
1684|75|4489
1685|132|4621
1686|131|4752
1687|92|4844
1688|75|4919
1689|85|5004
1690|95|5099
1691|118|5217
1692|122|5339
1693|141|5480
1694|113|5593
1695|146|5739
1696|121|5860
1697|117|5977
1698|150|6127
1699|126|6253
1700|154|6407
1701|143|6550
1702|178|6728
1703|174|6902
1704|177|7079
1705|106|7185
1706|106|7291
1707|104|7395
1708|132|7527
1709|110|7637
1710|70|7707
1711|72|7779
1712|75|7854
1713|63|7917
1714|70|7987
1715|69|8056
1716|94|8150
1717|82|8232
1718|42|8274
1719|36|8310
1720|156|8466
1721|102|8568
1722|92|8660
1723|162|8822
1724|143|8965
1725|62|9027
1726|124|9151
1727|55|9206
1728|84|9290
1729|181|9471
1730|221|9692
1731|184|9876
1732|179|10055
1733|188|10243
1734|115|10358
1735|113|10471
1736|192|10663
1737|198|10861
1738|261|11122
1739|261|11383
1740|175|11558
1741|207|11765
1742|99|11864
1743|164|12028
1744|118|12146
1745|75|12221
1746|143|12364
1747|347|12711
1748|161|12872
1749|143|13015
1750|276|13291
1751|217|13508
1752|128|13636
1753|342|13978
1754|147|14125
1755|138|14263
1756|303|14566
1757|142|14708
1758|162|14870
1759|168|15038
1760|243|15281
1761|294|15575
1762|212|15787
1763|202|15989
1764|169|16158
1765|397|16555
1766|434|16989
1767|348|17337
1768|235|17572
1769|165|17737
1770|189|17926
1771|309|18235
1772|331|18566
1773|228|18794
1774|107|18901
1775|270|19171
1776|237|19408
1777|314|19722
1778|117|19839
1779|161|20000
1780|130|20130
1781|55|20185
1782|90|20275
1783|208|20483
1784|173|20656
1785|214|20870
1786|280|21150
1787|408|21558
1788|301|21859
1789|325|22184
1790|343|22527
1791|105|22632
1792|228|22860
1793|193|23053
1794|234|23287
1795|213|23500
1796|137|23637
1797|211|23848
1798|295|24143
1799|348|24491
1800|282|24773
1801|93|24866
1802|227|25093
1803|410|25503
1804|321|25824
1805|219|26043
1806|278|26321
1807|-9|26312
1808|70|26382
1809|-103|26279
1810|219|26498
1811|76|26574
1812|127|26701
1813|32|26733
1814|-6|26727
1815|109|26836
1816|368|27204
1817|50|27254
1818|163|27417
1819|442|27859
1820|518|28377
1821|236|28613
1822|327|28940
1823|318|29258
1824|157|29415
1825|141|29556
1826|108|29664
1827|-303|29361
1828|-152|29209
1829|-424|28785
1830|-382|28403
1831|-274|28129
1832|-172|27957
1833|-426|27531
1834|-780|26751
1835|-780|25971
1836|-780|25191
1837|-780|24411
1838|-780|23631
1839|-10|23621
1840|-37|23584
1841|-88|23496
1842|-184|23312
1843|-853|22459
1844|-945|21514
1845|-607|20907
1846|-607|20300
1847|0|20300
1848|0|20300
1849|0|20300
1850|690|20990
1851|690|21680
1852|690|22370
1853|690|23060
1854|690|23750
1855|690|24440
1856|690|25130
1857|690|25820
1858|690|26510
1859|690|27200
1860|1501|28701
1861|374|29075
1862|867|29942
1863|942|30884
1864|643|31527
1865|317|31844
1866|232|32076
1867|252|32328
1868|1186|33514
1869|1098|34612
1870|435|35047
1871|882|35929
1872|748|36677
1873|874|37551
1874|1644|39195
1875|1133|40328
1876|285|40613
1877|472|41085
1878|255|41340
1879|13|41353
1880|247|41600
1881|351|41951
1882|384|42335
1883|417|42752
1884|450|43202
1885|608|43810
1886|765|44575
1887|817|45392
1888|-210|45182
1889|661|45843
1890|-391|45452
1891|-345|45107
1892|-592|44515
1893|1075|45590
1894|2833|48423
1895|3951|52374
1896|189|52563
1897|199|52762
1898|548|53310
1899|149|53459
1900|1699|55158
1901|-671|54487
1902|-1523|52964
1903|-665|52299
1904|-1497|50802
1905|-792|50010
1906|-2055|47955
1907|-3433|44522
1908|-1349|43173
1909|752|43925
1910|2397|46322
1911|4214|50536
